Population,Replicate,Treatment,Species,Group,Tray,Position,Elevation,Latitude,Longitude,germ_date,transplant date,first_flower,flowering_time,hgt_first_flower,flowers_10days,time pollen collection,# flowers for pollen,successful_self,total_self,viable_pollen,total_pollen,Notes
NOC,7,H,guttatus,low,13,15,1462.2,36.84194,-118.261097,13-Jun,16-Jun,,,,,,,,,,,
NOC,8,H,guttatus,low,9,14,1462.2,36.84194,-118.261097,13-Jun,16-Jun,,,,,,,,,,,
NOC,9,H,guttatus,low,10,12,1462.2,36.84194,-118.261097,13-Jun,16-Jun,,,,,,,,,,,
NOL,1,C,guttatus,high,3,8,2981,37.228528,-118.636716,14-Jun,21-Jun,,,,,,,,,,,
NOL,2,C,guttatus,high,6,14,2981,37.228528,-118.636716,15-Jun,21-Jun,3-Aug,47,441,9,,2,4,5,91,100,
NOL,3,C,guttatus,high,1,12,2981,37.228528,-118.636716,15-Jun,21-Jun,,,,,,,,,,,
NOL,4,C,guttatus,high,6,9,2981,37.228528,-118.636716,,,,,,,,,,,,,
NOL,5,C,guttatus,high,1,16,2981,37.228528,-118.636716,,,,,,,,,,,,,
NOL,6,C,guttatus,high,6,1,2981,37.228528,-118.636716,,,,,,,,,,,,,
NOL,7,C,guttatus,high,7,6,2981,37.228528,-118.636716,,,11-Jul,,355.2,3,,2,4,5,81,100,
NOL,8,C,guttatus,high,7,15,2981,37.228528,-118.636716,,,,,,,,,,,,,
NOL,9,C,guttatus,high,6,12,2981,37.228528,-118.636716,,,,,,,,,,,,,
NOL,1,H,guttatus,high,11,9,2981,37.228528,-118.636716,14-Jun,21-Jun,31-Jul,47,283,4,,,0,4,,,
NOL,2,H,guttatus,high,13,1,2981,37.228528,-118.636716,14-Jun,21-Jun,21-Jul,37,81.3,,,,,,,,
NOL,3,H,guttatus,high,11,8,2981,37.228528,-118.636716,17-Jun,21-Jun,2-Aug,46,371.9,8,,1,3,5,20,22,
NOL,4,H,guttatus,high,15,8,2981,37.228528,-118.636716,18-Jun,21-Jun,,,,,,,,,,,
NOL,5,H,guttatus,high,15,3,2981,37.228528,-118.636716,,,,,,,,,,,,,
NOL,6,H,guttatus,high,14,13,2981,37.228528,-118.636716,,,,,,,,,,,,,
